0,1002,4.0
0,3509,3.0
0,2335,2.0
0,2683,5.0
0,1342,5.0
2,721,5.0
2,727,5.0
2,1206,5.0
2,1152,4.0
2,548,5.0
3,3277,4.0
3,674,3.0
4,2823,4.0
4,4119,4.0
4,1634,4.0
4,2810,4.0
5,600,4.0
6,3580,4.0
6,3802,4.0
6,4013,4.0
7,1470,4.0
7,2058,4.0
7,2640,4.0
7,335,3.0
7,3236,3.0
7,195,3.0
8,594,4.0
8,1531,3.0
9,4039,3.0
9,1180,5.0
9,4028,5.0
9,2329,5.0
12,2197,4.0
13,3683,3.0
13,289,4.0
13,404,4.0
13,169,4.0
14,1873,3.0
14,2803,3.0
14,631,3.0
15,89,3.0
15,3733,4.0
15,197,3.0
15,292,3.0
15,290,3.0
16,133,4.0
16,164,5.0
16,135,3.0
16,288,4.0
16,176,4.0
16,237,4.0
17,1835,4.0
17,2773,4.0
17,2176,4.0
17,3967,4.0
17,2364,3.0
17,507,5.0
18,1146,4.0
18,696,4.0
19,1569,3.0
19,3435,5.0
19,37,4.0
19,33,4.0
20,2038,4.0
20,2378,3.0
20,4361,1.0
20,1367,2.0
20,348,1.0
20,1368,4.0
21,941,3.0
21,690,4.0
21,589,3.0
21,1383,3.0
21,2674,3.0
22,827,2.0
22,1431,4.0
22,1526,5.0
24,359,4.0
24,3166,4.0
25,1491,3.0
26,3454,3.0
26,2491,4.0
26,3719,4.0
26,17,4.0
27,4161,3.0
27,2099,4.0
27,1855,3.0
28,1470,2.0
28,791,3.0
28,128,3.0
28,1876,3.0
28,472,3.0
29,244,4.0
29,193,4.0
29,4243,3.0
29,406,4.0
29,408,5.0
29,1367,4.0
29,183,4.0
29,145,3.0
30,40,4.0
30,194,5.0
31,1568,4.0
32,2765,4.0
33,2970,4.0
33,3533,4.0
33,75,3.0
33,172,3.0
33,333,4.0
34,1162,3.0
34,2283,3.0
35,292,3.0
35,3166,3.0
35,907,3.0
35,3756,4.0
35,183,4.0
36,1552,4.0
37,339,4.0
38,926,4.0
38,3114,4.0
39,677,5.0
39,1042,3.0
39,810,3.0
40,4256,5.0
40,2051,3.0
40,2100,4.0
40,1291,4.0
41,1465,4.0
42,3201,3.0
42,3874,3.0
44,2354,4.0
44,4176,5.0
44,2044,4.0
44,2195,4.0
44,1516,4.0
45,1408,4.0
46,1586,3.0
46,908,3.0
47,427,4.0
47,258,3.0
47,554,4.0
47,41,4.0
47,2800,4.0
47,553,3.0
48,3224,4.0
48,3544,4.0
48,3679,3.0
48,4297,3.0
48,1794,4.0
48,669,5.0
48,4054,3.0
48,1749,4.0
48,3088,3.0
48,4215,3.0
49,1214,5.0
49,1395,3.0
49,773,4.0
49,3112,4.0
50,602,3.0
50,598,4.0
50,605,3.0
50,603,3.0
50,597,3.0
51,684,5.0
51,717,3.0
51,679,4.0
52,1127,3.0
52,4136,3.0
52,2737,3.0
52,1926,2.0
53,3835,4.0
53,3015,4.0
53,567,2.0
53,558,4.0
53,119,4.0
53,2243,3.0
54,2146,4.0
54,2954,5.0
55,103,4.0
55,128,4.0
56,474,4.0
56,1449,4.0
57,553,5.0
57,1847,5.0
57,467,4.0
57,1210,4.0
58,1789,4.0
58,2143,4.0
58,3873,4.0
58,4091,4.0
58,3125,3.0
58,2494,4.0
58,870,5.0
58,1414,4.0
58,840,3.0
59,1206,5.0
59,420,5.0
59,934,4.0
59,3113,3.0
59,2211,3.0
60,262,4.0
60,463,5.0
60,1432,4.0
60,470,4.0
60,1150,4.0
62,4379,3.0
62,2947,3.0
62,704,3.0
62,3085,3.0
62,577,4.0
62,1146,3.0
62,500,3.0
62,473,3.0
62,572,3.0
62,1888,3.0
63,3459,3.0
64,2007,3.0
64,36,3.0
64,1940,4.0
65,3292,4.0
65,3086,3.0
65,1519,4.0
66,1052,3.0
66,1237,4.0
66,1028,4.0
66,1055,3.0
67,2213,3.0
67,2674,3.0
67,546,4.0
67,236,3.0
67,2246,3.0
67,183,3.0
67,1151,3.0
67,579,3.0
67,1478,3.0
67,3247,3.0
68,399,5.0
69,1265,4.0
69,1982,4.0
69,1055,4.0
70,2389,4.0
70,734,4.0
70,1852,5.0
70,782,5.0
70,1205,4.0
70,695,5.0
71,927,4.0
71,866,2.0
71,4190,4.0
71,1951,4.0
71,4055,1.0
72,1728,4.0
72,2138,3.0
72,1660,4.0
72,2750,4.0
72,3413,3.0
72,2840,3.0
72,2337,3.0
73,1056,3.0
74,1455,4.0
77,3975,3.0
77,3058,3.0
77,2143,3.0
77,1249,4.0
77,525,4.0
77,3656,4.0
78,4353,3.0
78,2584,3.0
78,2035,3.0
79,1177,3.0
79,1122,4.0
79,113,5.0
79,1286,5.0
79,3881,5.0
79,1303,5.0
79,1207,3.0
79,1835,4.0
79,1102,5.0
80,2522,3.0
80,1202,3.0
